Date/Time,ABF:Zone Mean Air Temperature [C](Hourly),ANTEROOM:Zone Mean Air Temperature [C](Hourly),FREEZER1:Zone Mean Air Temperature [C](Hourly),FREEZER2:Zone Mean Air Temperature [C](Hourly),FREEZER3:Zone Mean Air Temperature [C](Hourly),FREEZER4:Zone Mean Air Temperature [C](Hourly),GUDANG:Zone Mean Air Temperature [C](Hourly),ABF IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),ANTEROOM IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),FREEZER1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),FREEZER2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),FREEZER3 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),FREEZER4 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly) 
 10/16  07:00:00,-40.0,4.0,-17.999999999999996,-18.0,-18.0,-18.000000000000004,14.741972240115244,12643204.408426724,418962.10374226066,28897914.24978604,29141997.61627758,28265873.914786965,28515953.916994043 
 10/16  08:00:00,-39.99999999999999,4.0,-18.0,-18.0,-18.000000000000004,-18.0,14.6976684841217,41422704.81584596,41657146.041059665,28924525.34452553,29170485.703000307,28302277.59370962,28554591.83324507 
 10/16  09:00:00,-39.99999999999999,3.9999999999999987,-18.0,-18.0,-18.0,-18.0,14.681369879705175,41743700.19302242,46049158.593718365,29163968.918302275,29414940.221156262,28569490.81791701,28827807.808179524 
 10/16  10:00:00,-39.99999999999999,4.000000000000001,-18.0,-18.0,-18.0,-18.0,14.709980030041777,42084575.67633788,47808700.28369439,29560063.3536497,29817188.982341576,29004441.535129867,29270240.332494803 
 10/16  11:00:00,-39.99999999999999,4.000000000000001,-18.0,-17.999999999999996,-18.0,-18.0,14.788839611409996,42459533.04767068,49616445.79622764,29991251.24880319,30253992.036754042,29472352.355935827,29745016.53883945 
 10/16  12:00:00,-40.0,4.0,-18.0,-18.0,-17.999999999999996,-18.0,14.912951601347883,42769377.580753334,50966469.57967001,30341902.35093889,30608968.191355195,29847096.264026325,30124928.16932391 
 10/16  13:00:00,-40.0,4.000000000000001,-18.0,-18.0,-18.0,-18.0,15.066225169434738,43010770.2349108,51933704.42087901,30610513.61855668,30880233.564327605,30119296.86633876,30399966.578474376 
 10/16  14:00:00,-39.99999999999999,4.000000000000001,-18.0,-18.0,-18.0,-18.0,15.232009086677778,43240245.49680726,52871835.78856468,30860832.159295578,31131866.451261014,30356975.51275704,30638623.795732576 
 10/16  15:00:00,-39.99999999999999,4.0,-18.0,-18.000000000000004,-18.0,-18.0,15.400678037837539,43320085.75485978,52990247.7706309,30921091.979842015,31192661.520171672,30401606.33090979,30683347.99328264 
 10/16  16:00:00,-40.0,4.0,-17.999999999999996,-17.999999999999996,-18.0,-18.0,15.558094056371615,43298217.5362073,52592442.971557766,30853444.256952517,31125303.124558367,30320767.38945201,30602416.133910988 
